,FirstRow,SecondRow,ThirdRow,Original,FirstKeyPhrase,SecondKeyPhrase,KeyEmotion,Number
20,mid february,the first garden seeds display,at the hardware store,mid february the first garden seeds display at the hardware store, , , ,21
21,sultry afternoon,only the mailbox shadow,crosses the dirt road,sultry afternoon only the mailbox shadow crosses the dirt road, , , ,22
22,long journey back home ,a forgotten bale of hay,slowly rots away,long journey back home  a forgotten bale of hay slowly rots away, , , ,23
23,sudden thunderstorm,open umbrellas flower,in many colors,sudden thunderstorm open umbrellas flower in many colors, , , ,24
24,middle of the night,my fingers tick tick ticking,a hot flash haiku,middle of the night my fingers tick tick ticking a hot flash haiku, , , ,25
25,autumn equinox ,all the crows celebrating,with grave offerings,autumn equinox  all the crows celebrating with grave offerings, , , ,26
26,antique store window,looking at dirty street snow,through colored bottles,antique store window looking at dirty street snow through colored bottles, , , ,27
27,lighting cigarettes,from each other's cigarettes,the slow setting sun,lighting cigarettes from each other's cigarettes the slow setting sun, , , ,28
28,in the old folder,of accountancy reports,a pressed wild flower,in the old folder of accountancy reports a pressed wild flower, , , ,29
29,thunderstorm downpour,thrashing against the window,her sweat on my lips,thunderstorm downpour thrashing against the window her sweat on my lips, , , ,30
30,nude in the sauna,the young woman pours water,on stony silence,nude in the sauna the young woman pours water on stony silence, , , ,31
31,kissing the widow,along her silver neck chain,the glint of his ring,kissing the widow along her silver neck chain the glint of his ring, , , ,32
32,natural rhythms,moons and tides supplanted by,yellow red and green,natural rhythms moons and tides supplanted by yellow red and green, , , ,33
33,if you really love,america hang that flag,on a bicycle,if you really love america hang that flag on a bicycle, , , ,34
34,atlanta traffic,easy to see why sherman,burned this city down,atlanta traffic easy to see why sherman burned this city down, , , ,35
35,a hundred streets named,peachtree no wonder sherman,burned this city down,a hundred streets named peachtree no wonder sherman burned this city down, , , ,36
36,he's a stop and go,christopher columbus in,your ford explorer,he's a stop and go christopher columbus in your ford explorer, , , ,37
37,swarm of tiny wings,fades out in the autumn sky,unfinished journal,swarm of tiny wings fades out in the autumn sky unfinished journal, , , ,38
38,when my time is done,remember i saw swallows,taking their first flight,when my time is done remember i saw swallows taking their first flight, , , ,39
39,flank to the sunrise,old donkey taking winter,one day at a time,flank to the sunrise old donkey taking winter one day at a time, , , ,40
40,withering daisies,brittle petals littering,the dusty pasture,withering daisies brittle petals littering the dusty pasture, , , ,41
41,october daisy,bedraggled but still upright,the cold morning rain,october daisy bedraggled but still upright the cold morning rain, , , ,42
42,herding a young deer,through the gate to its mother,steady autumn rain,herding a young deer through the gate to its mother steady autumn rain, , , ,43
43,patient old donkey,waiting for her morning hay,gray august sunrise,patient old donkey waiting for her morning hay gray august sunrise, , , ,44
44,orion rises,dragging autumn behind him,late august morning,orion rises dragging autumn behind him late august morning, , , ,45
45,poetry meeting,i try to read my haiku,a frog in my throat,poetry meeting i try to read my haiku a frog in my throat, , , ,46
46,summer butterfly,a girl wearing a white dress,in the morning breeze,summer butterfly a girl wearing a white dress in the morning breeze, , , ,47
47,memorial day,old enough to remember,a time between wars,memorial day old enough to remember a time between wars, , , ,48
48,in the nursing home,she talks about the brother,no one talks about,in the nursing home she talks about the brother no one talks about, , , ,49
49,cool and cloudy day,slowly the season changes,mirrored in your eyes,cool and cloudy day slowly the season changes mirrored in your eyes, , , ,50
50,the red breasted bird,outside the cancer clinic,spring nest building now,the red breasted bird outside the cancer clinic spring nest building now, , , ,51
51,lights of the ferry ,leave the island of cedars,in deep dark shadow,lights of the ferry  leave the island of cedars in deep dark shadow, , , ,52
52,through the  pulp mill smoke,a long red line is showing ,start of a sunrise,through the  pulp mill smoke a long red line is showing  start of a sunrise, , , ,53
53,the budapest square ,autumn leaves drift  here and there,on  young protestors,the budapest square  autumn leaves drift  here and there on  young protestors, , , ,54
54,tonight on my deck,setting sun the longest time,bring memories back,tonight on my deck setting sun the longest time bring memories back, , , ,55
55,on this dark grey day,my thoughts wander to a pair,of  blue irises,on this dark grey day my thoughts wander to a pair of  blue irises, , , ,56
56,a bone scan today,on the way three birds on the,rose scented old path,a bone scan today on the way three birds on the rose scented old path, , , ,57
57,hovering grey sky,a small crack in the thick clouds,fishing boats come in,hovering grey sky a small crack in the thick clouds fishing boats come in, , , ,58
58,a rainy cool day,promise of kona coffee,from honolulu,a rainy cool day promise of kona coffee from honolulu, , , ,59
59,last night of summer,the bright full moon of last night,hidden by a cloud,last night of summer the bright full moon of last night hidden by a cloud, , , ,60
60,autumn mist obscures,the island in the distance,she cleans her glasses,autumn mist obscures the island in the distance she cleans her glasses, , , ,61
61,terminal illness,by the bedside a young nurse,reads a fairytale,terminal illness by the bedside a young nurse reads a fairytale, , , ,62
62,sultry july day,a homeless fans herself with,a piece of cardboard,sultry july day a homeless fans herself with a piece of cardboard, , , ,63
63,a break in the clouds,spider webs and plastic bags,catch the morning light,a break in the clouds spider webs and plastic bags catch the morning light, , , ,64
64,last red in the sky,a small girl's moon face rises,over the counter,last red in the sky a small girl's moon face rises over the counter, , , ,65
65,morning cloudy sky,she comes out of the shower,wrapped in a towel,morning cloudy sky she comes out of the shower wrapped in a towel, , , ,66
66,saturday night rain,a couple eye the lobsters,in a water tank,saturday night rain a couple eye the lobsters in a water tank, , , ,67
67,october sunset,have to go to the kitchen,window to view it,october sunset have to go to the kitchen window to view it, , , ,68
68,fragrant spring blossom,children play outside until,there is no more light,fragrant spring blossom children play outside until there is no more light, , , ,69
69,unable to sleep,unable to stay awake ,a distant ocean,unable to sleep unable to stay awake  a distant ocean, , , ,70
70,snow mixes with rain ,my mother keeps calling me,by my brother's name,snow mixes with rain  my mother keeps calling me by my brother's name, , , ,71
71,a wide open bay,as far as the eye can see,the herring gull's call,a wide open bay as far as the eye can see the herring gull's call, , , ,72
72,new-york september,the one-way sign points towards,the billowing cloud,new-york september the one-way sign points towards the billowing cloud, , , ,73
73,turning seventy,i walk outside to see it,the almost full moon,turning seventy i walk outside to see it the almost full moon, , , ,74
74,tea in china cups,the wet afternoon perfumed,with tangerine peels,tea in china cups the wet afternoon perfumed with tangerine peels, , , ,75
75,a flurry of snow,in the light of a street lamp,a man asks for change,a flurry of snow in the light of a street lamp a man asks for change, , , ,76
76,yellow walnut leaves,slowly appear on the lawn,early morning light,yellow walnut leaves slowly appear on the lawn early morning light, , , ,77
77,temperature rising,thunderstorms and traffic noise,through the north window,temperature rising thunderstorms and traffic noise through the north window, , , ,78
78,picking up his toys,still in my funeral clothes,the very last time,picking up his toys still in my funeral clothes the very last time, , , ,79
79,lullaby of rain,another pinch of saffron,in the pumpkin soup,lullaby of rain another pinch of saffron in the pumpkin soup, , , ,80
80,autumn equinox,laying her husband to rest,beside his first wife,autumn equinox laying her husband to rest beside his first wife, , , ,81
81,my dead mother's voice,on the answering machine,   again and again   ,my dead mother's voice on the answering machine    again and again   , , , ,82
82,concert in full flow,mingling with the music,the smell of cooking,concert in full flow mingling with the music the smell of cooking, , , ,83
83,sentinels of spring,kites bobbing for attention,in saucy march winds,sentinels of spring kites bobbing for attention in saucy march winds, , , ,84
84,kiss me back to home,if my attempt to escape,makes me a forlorn,kiss me back to home if my attempt to escape makes me a forlorn, , , ,85
85,green economics,a man dressed in green rides the,bear financial bull,green economics a man dressed in green rides the bear financial bull, , , ,86
86,rough stone smooth stone both,born from the same mountain but,one has suffered much,rough stone smooth stone both born from the same mountain but one has suffered much, , , ,87
87,ere swallows dare come,march's ranging breezes stir,dancing daffodils,ere swallows dare come march's ranging breezes stir dancing daffodils, , , ,88
88,twelfth day of christmas,among twelve drummers drumming,was one little boy,twelfth day of christmas among twelve drummers drumming was one little boy, , , ,89
89,he peeks through windows,for socks of dreaming children,to give them surprise,he peeks through windows for socks of dreaming children to give them surprise, , , ,90
90,the church bells resound,dulcet choirs kill drowsiness,lights dispel darkness,the church bells resound dulcet choirs kill drowsiness lights dispel darkness, , , ,91
91,invite friends and foes,be a visitor yourself,spread love and be loved,invite friends and foes be a visitor yourself spread love and be loved, , , ,92
92,rockets of blind faith,sputter and crackle dead dreams,like time bleeding stars,rockets of blind faith sputter and crackle dead dreams like time bleeding stars, , , ,93
93,through soft painted moans,a man watches his life drown,in waves of glass bones,through soft painted moans a man watches his life drown in waves of glass bones, , , ,94
94,through bright haunted smiles,a woman hums white magic,sings pain into pearls,through bright haunted smiles a woman hums white magic sings pain into pearls, , , ,95
95,reflections of self,in multiple dimensions,whirl across the sky,reflections of self in multiple dimensions whirl across the sky, , , ,96
96,throbbing blue rhythms,a torn heart wrestles naked,with wounds from the past,throbbing blue rhythms a torn heart wrestles naked with wounds from the past, , , ,97
97,black holes coalesce,into mounds of burned feathers,and crucified trust,black holes coalesce into mounds of burned feathers and crucified trust, , , ,98
98,between death and hell,a bridge shining silver wings,offers his soul hope,between death and hell a bridge shining silver wings offers his soul hope, , , ,99
99,that good gardener,who wept thorns plowing his fields,harvests grace with joy,that good gardener who wept thorns plowing his fields harvests grace with joy, , , ,100
100,here is the timeless,mystery that pays no heed,to death's greedy pride,here is the timeless mystery that pays no heed to death's greedy pride, , , ,101
101,songs of hearts divine,mortal angelic holy,billow starlit wings,songs of hearts divine mortal angelic holy billow starlit wings, , , ,102
102,here are lips of flame,eager to be extinguished,by love's liquid sigh,here are lips of flame eager to be extinguished by love's liquid sigh, , , ,103
103,stars wishing upon,the potential of humans,shine faithfully on,stars wishing upon the potential of humans shine faithfully on, , , ,104
104,collect red bug bites,show you a peacock before,his tail gets ratty,collect red bug bites show you a peacock before his tail gets ratty, , , ,105
105,and fills the lost ring's,hollow with life's most lasting,part cries for new love,and fills the lost ring's hollow with life's most lasting part cries for new love, , , ,106
106,if not for the cat,and the scarcity of cheese,i could be content,if not for the cat and the scarcity of cheese i could be content, , , ,107
107,do we seem rootless,holding fast to the anchor,of the saddest things,do we seem rootless holding fast to the anchor of the saddest things, , , ,108
108,northern follows jig,body flashes with strike dive,broken line floats up,northern follows jig body flashes with strike dive broken line floats up, , , ,109
109,i burned with love in,empty rooms i sternly turned,knives within myself,i burned with love in empty rooms i sternly turned knives within myself, , , ,110
110,but nothing could kill,a faith like a guillotine,as heavy as light,but nothing could kill a faith like a guillotine as heavy as light, , , ,111
111,into the heavens,flew a breathless legion of,impossible crows,into the heavens flew a breathless legion of impossible crows, , , ,112
112,making jazz swing in,seventeen syllables ain't,no square poet's job,making jazz swing in seventeen syllables ain't no square poet's job, , , ,113
113,'tis all gold and snow,save where scarlet waves are hurled,down yon gulf below,'tis all gold and snow save where scarlet waves are hurled down yon gulf below, , , ,114
114,old man's love affair,in trying to forget it,a winter rainfall,old man's love affair in trying to forget it a winter rainfall, , , ,115
115,the underground roads,are as the dead prefer them,always tortuous,the underground roads are as the dead prefer them always tortuous, , , ,116
116,silence of the dawn,sailing in sun speckled sea,gliding into port,silence of the dawn sailing in sun speckled sea gliding into port, , , ,117
117,profound stillness clouds,and trees collect on the pond,which way up which down,profound stillness clouds and trees collect on the pond which way up which down, , , ,118
118,trees reach to the clouds,golden leaves on branches fall,natures cathedral,trees reach to the clouds golden leaves on branches fall natures cathedral, , , ,119
119,reaching for the stars,copper gold gifts soon will fall,then the tree can sleep,reaching for the stars copper gold gifts soon will fall then the tree can sleep, , , ,120
120,tango with shadows,each on its own axis spins,dialogue of light,tango with shadows each on its own axis spins dialogue of light, , , ,121
121,gently from the sky,landing like a sacrament,level and divine,gently from the sky landing like a sacrament level and divine, , , ,122
122,shadow and pollen,atop mauve crocus petals,bespeak winter's end,shadow and pollen atop mauve crocus petals bespeak winter's end, , , ,123
123,rain in the morning,soft beginning of the day,inviting stillness,rain in the morning soft beginning of the day inviting stillness, , , ,124
124,yellow butterflies,look like flowers flying through,the warm summer air,yellow butterflies look like flowers flying through the warm summer air, , , ,125
125,at sunset we sat,you and me quietly there,breathing in and out,at sunset we sat you and me quietly there breathing in and out, , , ,126
126,between teeth and tongue,red planet bursting luscious,supernova sweet,between teeth and tongue red planet bursting luscious supernova sweet, , , ,127
127,still part of the whole,or already forgotten,without a meaning,still part of the whole or already forgotten without a meaning, , , ,128
128,silent day breaking,saffron yolk of light running,pushing the shadows,silent day breaking saffron yolk of light running pushing the shadows, , , ,129
129,once more as i wait,for you night and icy wind,melt into cold rain,once more as i wait for you night and icy wind melt into cold rain, , , ,130
130,perhaps this silent,wanderer fashions flowers,dreamy butterfly,perhaps this silent wanderer fashions flowers dreamy butterfly, , , ,131
131,deep in the dark woods,murk in my mind vanished by,this light from above,deep in the dark woods murk in my mind vanished by this light from above, , , ,132
132,all of the buses,safely hidden till the fall,yellow chariots,all of the buses safely hidden till the fall yellow chariots, , , ,133
133,when time is over,will anybody recall,that there once was more,when time is over will anybody recall that there once was more, , , ,134
134,it has come to pass,all that is mortal is lost,sometime anywhere,it has come to pass all that is mortal is lost sometime anywhere, , , ,135
135,to find the beauty,even if it's dark and grey,that lightens my day,to find the beauty even if it's dark and grey that lightens my day, , , ,136
136,there must be some good,hidden amidst all the bad,know i will find it,there must be some good hidden amidst all the bad know i will find it, , , ,137
137,without just one nest,a bird can call the world home,life is your career,without just one nest a bird can call the world home life is your career, , , ,138
138,the line of nature,feeds the eye and mind with awe,a natural flow,the line of nature feeds the eye and mind with awe a natural flow, , , ,139
139,my mother told me,that a yellow sunset means,hard wind is coming,my mother told me that a yellow sunset means hard wind is coming, , , ,140
140,long shadows at noon,means winter and sun cold day,of peaceful walking,long shadows at noon means winter and sun cold day of peaceful walking, , , ,141
141,clouds hang on bare trees,but the snow on the mountains,is a white blessing,clouds hang on bare trees but the snow on the mountains is a white blessing, , , ,142
142,in the cold season,a jewel jam is an aid,to my freezing heart,in the cold season a jewel jam is an aid to my freezing heart, , , ,143
143,can you see the ray,if you can see it you will,soon find your true love,can you see the ray if you can see it you will soon find your true love, , , ,144
144,aperture golden,bundle of rays traversing,instrument of light,aperture golden bundle of rays traversing instrument of light, , , ,145
145,moon is a whole note,cloudy stanzas span blue sky,staccato geese soar,moon is a whole note cloudy stanzas span blue sky staccato geese soar, , , ,146
146,doves in the morning,love flowering on a branch,beautiful bouquet,doves in the morning love flowering on a branch beautiful bouquet, , , ,147
147,a turn done in air,the sprightly red dancer bounds,a dance without plot,a turn done in air the sprightly red dancer bounds a dance without plot, , , ,148
148,spinning wheel of hearts,love at the ends of petals,unfolding brightly,spinning wheel of hearts love at the ends of petals unfolding brightly, , , ,149
149,horizon slanting,the grey sea of winter is,paved in iced glass tiles,horizon slanting the grey sea of winter is paved in iced glass tiles, , , ,150
150,winters flame burning,brightly through darkening days,brave little pilot,winters flame burning brightly through darkening days brave little pilot, , , ,151
151,ripening of leaves,the vermillion crescendo,red coals in winter,ripening of leaves the vermillion crescendo red coals in winter, , , ,152
152,new leaves brand new green,yellow spring flower among,yesterday's brown spikes,new leaves brand new green yellow spring flower among yesterday's brown spikes, , , ,153
153,from the tops of trees,red cardinals will alight,in the dormant grass,from the tops of trees red cardinals will alight in the dormant grass, , , ,154
154,out of cold thin air,brilliant carmine leaves will form,on dormant branches,out of cold thin air brilliant carmine leaves will form on dormant branches, , , ,155
155,early spring sunlight,on a double espresso,i'm working from home,early spring sunlight on a double espresso i'm working from home, , , ,156
156,which one is tallest,the nearest or the farthest,but both in my mind,which one is tallest the nearest or the farthest but both in my mind, , , ,157
157,like a summer breeze,blue sky landing in my heart,a cloud with feathers,like a summer breeze blue sky landing in my heart a cloud with feathers, , , ,158
158,slung between branches,radiating summer sun,the winter hammock,slung between branches radiating summer sun the winter hammock, , , ,159
159,the morning sunrise,so beautiful to behold,glowing breath of light,the morning sunrise so beautiful to behold glowing breath of light, , , ,160
160,corner of my eye,perception is blurry line,between truth and lie,corner of my eye perception is blurry line between truth and lie, , , ,161
161,happy to be here,sparrow says good morning day,in the golden light,happy to be here sparrow says good morning day in the golden light, , , ,162
162,tears fall like silence,haiku hanging from a branch,words are descending,tears fall like silence haiku hanging from a branch words are descending, , , ,163
163,rest your weary feet,comfy place to sit and eat,the squirrel settle,rest your weary feet comfy place to sit and eat the squirrel settle, , , ,164
164,i'm so sweet on him,bright red flash on dormant grass,i call him my crush,i'm so sweet on him bright red flash on dormant grass i call him my crush, , , ,165
165,alchemy of light,turning moments into gold,everywhere i look,alchemy of light turning moments into gold everywhere i look, , , ,166
166,how you eye me so,inclined on a branch steeply,homage picasso,how you eye me so inclined on a branch steeply homage picasso, , , ,167
167,round and red and warm,sunshine for a cold monday,bright scarlet engine,round and red and warm sunshine for a cold monday bright scarlet engine, , , ,168
168,dawn and dusk cycle,another tree has fallen,now rests silently,dawn and dusk cycle another tree has fallen now rests silently, , , ,169
169,a building's dark heart,bleeds grime decay from it's seams,the city's mirror,a building's dark heart bleeds grime decay from it's seams the city's mirror, , , ,170
170,yellow hammering,audible beacon tapping,visible morse code,yellow hammering audible beacon tapping visible morse code, , , ,171
171,a stream of my thoughts,washing over my short life,the sound renews me,a stream of my thoughts washing over my short life the sound renews me, , , ,172
172,my empty strumming,overtaken by the storm,fading memories,my empty strumming overtaken by the storm fading memories, , , ,173
173,you can't fence him in,rebel in a shark skin suit,he's blue greased lightning,you can't fence him in rebel in a shark skin suit he's blue greased lightning, , , ,174
174,shadows of my life,walking closer or away,i'm still no closer,shadows of my life walking closer or away i'm still no closer, , , ,175
175,buttons and bellows,a box full of singing reeds,the concertina,buttons and bellows a box full of singing reeds the concertina, , , ,176
176,in the summer heat,like hot coals under your feet,where sun and sand meet,in the summer heat like hot coals under your feet where sun and sand meet, , , ,177
177,in sowing questions,for which there are no answers,she's finding her peace,in sowing questions for which there are no answers she's finding her peace, , , ,178
178,got just a dusting,snow heavier south of here,it's still very cold,got just a dusting snow heavier south of here it's still very cold, , , ,179
179,stranger to england,fragile fugitive fingers,reaching for the sun,stranger to england fragile fugitive fingers reaching for the sun, , , ,180
180,penitent petal,not quite finished unfurling,awaits sun's blessing,penitent petal not quite finished unfurling awaits sun's blessing, , , ,181
181,no pole no paddle,it doesn't really matter,just go with the flow,no pole no paddle it doesn't really matter just go with the flow, , , ,182
182,as if by magic,sun and rain and rain again,and a pearl of light,as if by magic sun and rain and rain again and a pearl of light, , , ,183
183,in the way that we,without even noticing,complete each other,in the way that we without even noticing complete each other, , , ,184
184,a shameless blue heart,glows in the jade summer woods,draped with muslin wings,a shameless blue heart glows in the jade summer woods draped with muslin wings, , , ,185
185,after the flower,and before the fruit red gems,on a green background,after the flower and before the fruit red gems on a green background, , , ,186
186,a moment rustle,in the grasses of the fields,spring is leaving us,a moment rustle in the grasses of the fields spring is leaving us, , , ,187
187,sweet lipstick kisses,left by the sun on beaches,at the end of day,sweet lipstick kisses left by the sun on beaches at the end of day, , , ,188
188,deep in the darkness,fly all things that we most fear,lose them in the light,deep in the darkness fly all things that we most fear lose them in the light, , , ,189
189,searching for blue sky,navigating by the stars,sometimes it finds you,searching for blue sky navigating by the stars sometimes it finds you, , , ,190
190,a blue note resting,in a line of green music,sweet and clear and high,a blue note resting in a line of green music sweet and clear and high, , , ,191
191,i have seen the world,spread below me like a quilt,confident of air,i have seen the world spread below me like a quilt confident of air, , , ,192
192,through a glass darkly,we see a poor reflection,of the other side,through a glass darkly we see a poor reflection of the other side, , , ,193
193,silence afforded,only from throbbing numbness,no longer feeling,silence afforded only from throbbing numbness no longer feeling, , , ,194
194,so many seeds red,and juicy dripping staining,a rainy autumn,so many seeds red and juicy dripping staining a rainy autumn, , , ,195
195,contrast loving child,born of daylight and of night,at their edges stirs,contrast loving child born of daylight and of night at their edges stirs, , , ,196
196,wasting not a thing,life puts pears in strawberries,mysteries unfold,wasting not a thing life puts pears in strawberries mysteries unfold, , , ,197
197,guess where dear the sea,is green even in winter,mirrored by my eyes,guess where dear the sea is green even in winter mirrored by my eyes, , , ,198
198,the size of a dime,blending in is his strong suit,animated rock,the size of a dime blending in is his strong suit animated rock, , , ,199
199,an object light skin,wearing the august sun as,a silver garland,an object light skin wearing the august sun as a silver garland, , , ,200
200,dancing on water,in shimmering summer shades,we swim through the sky,dancing on water in shimmering summer shades we swim through the sky, , , ,201
201,maple lights in wood,like stars of natures heaven,nourishing the earth,maple lights in wood like stars of natures heaven nourishing the earth, , , ,202
202,night sunset in wales,ancestors of this landscape,gazed upon this scene,night sunset in wales ancestors of this landscape gazed upon this scene, , , ,203
203,walk lime avenue,where golden autumn stars shine,and fall on the earth,walk lime avenue where golden autumn stars shine and fall on the earth, , , ,204
204,the snow white angels,out of the shadows they glide,perfect harmony,the snow white angels out of the shadows they glide perfect harmony, , , ,205
205,white wings of angel,floating in the autumn sky,seagull softly fly,white wings of angel floating in the autumn sky seagull softly fly, , , ,206
206,rust and red magic,lit by nature's autumn sun,tall trees protecting,rust and red magic lit by nature's autumn sun tall trees protecting, , , ,207
207,sinking of the sun,sunlight sparkles on the lake,before black night comes,sinking of the sun sunlight sparkles on the lake before black night comes, , , ,208
208,before the red gate,only one choice to be made,enter or escape,before the red gate only one choice to be made enter or escape, , , ,209
209,how i wish you were,near me loquat flowers smell,of winter for miles,how i wish you were near me loquat flowers smell of winter for miles, , , ,210
210,the power lines stretched,across the kingdom of frost,north of all music,the power lines stretched across the kingdom of frost north of all music, , , ,211
211,through the tree shadows,swimming on the sparkling lake,in last light of day,through the tree shadows swimming on the sparkling lake in last light of day, , , ,212
212,swans rest together,in the evening star sunset,until darkness falls,swans rest together in the evening star sunset until darkness falls, , , ,213
213,shadows and sunset,spirits of coal ships sail here,in new cardiff bay,shadows and sunset spirits of coal ships sail here in new cardiff bay, , , ,214
214,gold tree grows by lake,branches arch towards the sun,shelter for the swans,gold tree grows by lake branches arch towards the sun shelter for the swans, , , ,215
215,always remember,you will never be alone,when you have a friend,always remember you will never be alone when you have a friend, , , ,216
216,darkness has a light,when we look through the shadows,for love we may seek,darkness has a light when we look through the shadows for love we may seek, , , ,217
217,white barn owl i held,heart shaped face and beautiful,looked at me with peace,white barn owl i held heart shaped face and beautiful looked at me with peace, , , ,218
218,eyes of golden light,face with dreamlike majesty,hidden voice within,eyes of golden light face with dreamlike majesty hidden voice within, , , ,219
219,in the morning snow,beauty stands  so motionless,black as ebony,in the morning snow beauty stands  so motionless black as ebony, , , ,220
220,no bunch of flowers,only this magnolia bud,i do not forget,no bunch of flowers only this magnolia bud i do not forget, , , ,221
221,by the jetty waits,a silver boat for sailing,on water so blue,by the jetty waits a silver boat for sailing on water so blue, , , ,222
222,winter frozen lakes,supporting a frozen snake,motionless swimming,winter frozen lakes supporting a frozen snake motionless swimming, , , ,223
223,earth frozen with ice,snow covered in winters cold,ponies on the hill,earth frozen with ice snow covered in winters cold ponies on the hill, , , ,224
224,can you see me here,i am hiding in the sea,keep this memory,can you see me here i am hiding in the sea keep this memory, , , ,225
225,golden crocuses,reaching out towards the sun,harbingers of spring,golden crocuses reaching out towards the sun harbingers of spring, , , ,226
226,i walked the long path,to the ancient cathedral,and my soul found peace,i walked the long path to the ancient cathedral and my soul found peace, , , ,227
227,light shone from the hill,in this place of such beauty,shades of blues and greens,light shone from the hill in this place of such beauty shades of blues and greens, , , ,228
228,village pond of old,reflection of ancient farm,mirrored on the sky,village pond of old reflection of ancient farm mirrored on the sky, , , ,229
229,how green is my land,spring now bursting with fresh life,trees with new leaves hang,how green is my land spring now bursting with fresh life trees with new leaves hang, , , ,230
230,clouds at sunset time,hide the dying gold sun rays,shine as magic lights,clouds at sunset time hide the dying gold sun rays shine as magic lights, , , ,231
231,born in raging wind,lashed with icy rain on hill,beautiful today,born in raging wind lashed with icy rain on hill beautiful today, , , ,232
232,only the one now,hold on tight and remember,protect and cherish,only the one now hold on tight and remember protect and cherish, , , ,233
233,view across the vale,as far as the eye can see,yellow on yellow,view across the vale as far as the eye can see yellow on yellow, , , ,234
234,under azure sky,a small child stands on the stones,ancient abbey stones,under azure sky a small child stands on the stones ancient abbey stones, , , ,235
235,past years reflected,in these cold canal waters,for nine hundred years,past years reflected in these cold canal waters for nine hundred years, , , ,236
236,in evening's last light,a golden yellow lily,gleams a warm good night,in evening's last light a golden yellow lily gleams a warm good night, , , ,237
237,like a ship sailing,on the sea to distant lands,looking out on bay,like a ship sailing on the sea to distant lands looking out on bay, , , ,238
238,here on golden pond,sunset glows as shining stars,glittering like pearls,here on golden pond sunset glows as shining stars glittering like pearls, , , ,239
239,here they come for peace,blessing from the holy pope,spiritual love,here they come for peace blessing from the holy pope spiritual love, , , ,240
240,a perchance to dream,hear singing of the sea birds,boats bobbing on tide,a perchance to dream hear singing of the sea birds boats bobbing on tide, , , ,241
241,path down to sand beach,wild welsh winds seals and dolphins,place of harmony,path down to sand beach wild welsh winds seals and dolphins place of harmony, , , ,242
242,place of pilgrimage,church of the sea and the wind,resting quietly,place of pilgrimage church of the sea and the wind resting quietly, , , ,243
243,magical moments,wishes do come true for you,when you wait awhile,magical moments wishes do come true for you when you wait awhile, , , ,244
244,ponies on the sand,summer evenings will soon end,racing to the sea,ponies on the sand summer evenings will soon end racing to the sea, , , ,245
245,sunlight fading fast,seagulls resting on the sands,time for going home,sunlight fading fast seagulls resting on the sands time for going home, , , ,246
246,summer becomes fall,hot earth breathes sighs of relief,flowers set their seeds,summer becomes fall hot earth breathes sighs of relief flowers set their seeds, , , ,247
247,are you sure that eve,in the garden offered one,small apple only,are you sure that eve in the garden offered one small apple only, , , ,248
248,on the sea shore line,walking under setting sun,shadows of people,on the sea shore line walking under setting sun shadows of people, , , ,249
249,only the gold sun,setting over the welsh sea,shimmering like silk,only the gold sun setting over the welsh sea shimmering like silk, , , ,250
